Renda	Residus
15000	20032
12800	111167
16000	52535
13000	9484
15300	1914
14600	63373
14200	9359
15700	75639
14200	96224
11900	40984
13400	103089
17300	357619
13500	63500
18600	975219
15400	19940
14300	12234
14900	10446
16000	85746
14100	7062
15800	27938
15800	76195
16000	233403
15000	7273
10900	32930
13600	15598
15500	64550
14700	6405
14700	4045
13700	14623
15400	14831
13800	4193
14300	10117
16500	13547
14500	8849
14400	84590
13500	108228
14000	6336
15100	149197
13500	4040
13700	15954
16800	358713
16200	181807
